city,date,product,prodcode,quantity,weight_lb,price_usd
"Washington, DC",Jan 23,Orange,4012,488,14.061532394308598,1.7247219161479734
"Washington, DC",Jan 23,Onion,4159,375,17.892330227559434,2.443539155251347
"Washington, DC",Jan 23,Blueberries,4240,138,12.138493000576274,0.8964861299726181
"Washington, DC",Jan 23,Apple (Fuji),4131,222,19.729006388597192,0.5823795565054752
"Washington, DC",Jan 23,Apple (Gala),4134,213,16.81642403858714,1.287647217058111
"Washington, DC",Jan 23,Orange,4012,454,4.30167988985777,1.4146909435046837
"Washington, DC",Jan 23,Kiwi,4030,460,16.22709072381258,2.0145352944498884
"Washington, DC",Jan 23,Corn,4078,438,18.793979738326744,1.832297250640113
"Washington, DC",Jan 23,Banana,4011,306,13.715704459277914,2.3655102090095173
"Washington, DC",Jan 23,Apricot,3302,268,9.26185862873681,1.1008234733133577
"Washington, DC",Jan 23,Cucumber,4062,427,14.89389902004041,2.2839004179229963
"Washington, DC",Jan 23,Orange,4012,248,19.711042424058544,2.136254861264024
"Washington, DC",Jan 23,Kiwi,4030,439,6.557727305591107,0.5970120171085
"Washington, DC",Jan 23,Avocado,4225,144,19.097679401980713,2.424563135497738
"Washington, DC",Jan 23,Tomato,4796,421,13.672636812506244,2.9440044275950643
"Washington, DC",Jan 23,Kiwi,4030,253,2.3571787738706917,2.3464061503298583
"Washington, DC",Jan 23,Apple (Fuji),4131,366,19.185821001697335,1.0507717034313828
"Washington, DC",Jan 23,Kiwi,4030,366,17.135625828057528,0.8818684484111146
"Washington, DC",Jan 23,Lychee,4309,297,6.400732214422897,2.9429349031532186
"Washington, DC",Jan 23,Eggplant,4081,221,13.47555653047748,2.5886917939176786
"Washington, DC",Jan 23,Corn,4078,389,13.746954864356669,1.095607716368977
"Washington, DC",Jan 23,Eggplant,4081,428,15.35146589963697,1.220543332467787
"Washington, DC",Jan 23,Grapes,4272,407,19.38658736185171,0.9905939588323236
"Washington, DC",Jan 23,Banana,4011,185,7.513877890771256,2.903236367926002
"Washington, DC",Jan 23,Tomato,4796,320,8.516502043697983,0.9671300560119562
"Washington, DC",Jan 23,Eggplant,4081,205,20.62316077933647,1.7093097276054323
"Washington, DC",Jan 23,Apple (Fuji),4131,401,15.048837417224423,1.7626951631507837
"Washington, DC",Jan 23,Banana,4011,445,20.59286878453568,1.7410841162316502
"Washington, DC",Jan 23,Lemon,4958,113,16.09421558622271,1.4674552802578547
"Washington, DC",Jan 23,Lemon,4958,137,15.694547675922514,2.4039580455981198
"Washington, DC",Jan 23,Cucumber,4062,219,14.260424102004619,2.4730108613846826
"Washington, DC",Jan 23,Strawberries,4323,412,8.233382841153071,1.4156525749247522
"Washington, DC",Jan 23,Apricot,3302,304,9.9228783225175,3.1240732446429322
"Washington, DC",Jan 23,Orange,4012,295,8.214317637868227,0.9343420000630431
"Washington, DC",Jan 23,Cucumber,4062,116,17.40415579546243,1.3640079929144122
"Washington, DC",Jan 23,Strawberries,4323,467,12.884730270504953,0.5808803084772081
"Washington, DC",Jan 23,Eggplant,4081,328,3.030278583429754,3.213072113413364
