city,date,product,prodcode,quantity,weight_lb,price_usd
Los Angeles,Jan 23,Lemon,4958,263,12.16327648740262,2.8800922352354976
Los Angeles,Jan 23,Orange,4012,197,10.531265781074763,2.753262264491059
Los Angeles,Jan 23,Lychee,4309,433,21.850957101164386,1.3527018628781662
Los Angeles,Jan 23,Mushroom,4650,100,7.294773686677218,2.423825235408731
Los Angeles,Jan 23,Tomato,4796,212,7.582467447826639,1.8889054981525988
Los Angeles,Jan 23,Orange,4012,298,3.291957836970687,2.0435705264797437
Los Angeles,Jan 23,Peach,4404,320,15.843041329178961,1.8657443800009788
Los Angeles,Jan 23,Orange,4012,168,7.094064232939854,1.7005395452259109
Los Angeles,Jan 23,Kiwi,4030,347,18.47671313583851,2.8758196086972023
Los Angeles,Jan 23,Peach,4404,323,5.317740296013653,2.455286128050648
Los Angeles,Jan 23,Mushroom,4650,129,2.6439728014171124,2.603971731103957
Los Angeles,Jan 23,Eggplant,4081,379,15.248800495173784,1.0025893190293573
Los Angeles,Jan 23,Pear,4412,453,4.316236933041364,3.205311699025333
Los Angeles,Jan 23,Lychee,4309,439,20.048995449580254,2.4206813756143677
Los Angeles,Jan 23,Apple (Fuji),4131,248,11.157074306625875,1.8702135283499957
Los Angeles,Jan 23,Pear,4412,154,6.427517756959424,2.147673463635147
Los Angeles,Jan 23,Blueberries,4240,139,7.780216154363007,2.8143421280081387
Los Angeles,Jan 23,Lychee,4309,261,15.990075455466286,1.9111313537112438
Los Angeles,Jan 23,Corn,4078,418,20.05965220881626,2.4149974236031997
Los Angeles,Jan 23,Mushroom,4650,275,7.316231637913734,1.4214487354736776
Los Angeles,Jan 23,Corn,4078,175,9.178453870490195,1.0720763864926994
Los Angeles,Jan 23,Lemon,4958,222,21.167024921858683,1.4861205028253608
Los Angeles,Jan 23,Pear,4412,225,15.38362611127086,1.1234324871446006
Los Angeles,Jan 23,Onion,4159,460,6.523656275682152,2.365857937152032
Los Angeles,Jan 23,Strawberries,4323,410,11.698194346483797,1.7450933650368825
Los Angeles,Jan 23,Orange,4012,343,18.79448712929152,2.5222203661222014
Los Angeles,Jan 23,Pear,4412,350,15.57044598744251,1.0428952029440552
Los Angeles,Jan 23,Cucumber,4062,496,10.174335825443269,1.6344164295122028
Los Angeles,Jan 23,Mushroom,4650,218,13.508581619150938,0.9365721191396006
Los Angeles,Jan 23,Corn,4078,218,17.748007426504046,2.033084502629936
Los Angeles,Jan 23,Kiwi,4030,500,18.888981451792645,1.0852112689288334
Los Angeles,Jan 23,Peach,4404,387,6.399481020076201,3.07216198167298
Los Angeles,Jan 23,Apple (Fuji),4131,486,6.009954166132958,1.4092494351323694
Los Angeles,Jan 23,Apricot,3302,326,14.09684719638899,2.1963661565212536
Los Angeles,Jan 23,Apple (Fuji),4131,286,19.07928960742429,0.6525591323850677
Los Angeles,Jan 23,Mushroom,4650,352,21.08342910022475,2.21871648398228
Los Angeles,Jan 23,Corn,4078,338,21.733900416968392,1.3395610539708287
