OBJECTID,Year,FedID,CDCode,CDSCode,CountyName,DistrictName,DistrictType,GradeLow,GradeHigh,GradeLowCensus,GradeHighCensus,AssistStatus,CongressUS,SenateCA,AssemblyCA,LocaleDistrict,UpdateNotes,EnrollTotal,EnrollCharter,EnrollNonCharter,AAcount,AApct,AIcount,AIpct,AScount,ASpct,FIcount,FIpct,HIcount,HIpct,MRcount,MRpct,PIcount,PIpct,WHcount,WHpct,NRcount,NRpct,ELcount,ELpct,FOScount,FOSpct,HOMcount,HOMpct,MIGcount,MIGpct,SWDcount,SWDpct,SEDcount,SEDpct,UPcount,UPpct,ELATested,ELAStdMetPct,MathTested,MathStdMetPct,CCPrepCohortCount,CCPrepPct,AbsentEligCount,AbsentPct,GradCohortCount,GradPct,UCCSUReqMetPct,DropOutPct,EnrollCumulative,SuspPct,SHAPE_Length,SHAPE_Area
1,2018-19,0601770,0161119,01611190000000,Alameda,Alameda Unified,Unified,KG,12,KG,12,Differentiated Assistance,13,09,18,"21 - Suburban, Large",2018-19 District Boundary Adjustment/Correction,11260,1877,9383,825,7.3000002,28,0.2,2854,25.299999,683,6.0999999,1960,17.4,1310,11.6,67,0.60000002,3244,28.799999,289,2.5999999,1601,14.2,26,0.2,67,0.60000002,0,0,1289,11.4,3523,31.299999,3144,33.5,4567,69.400002,4587,59.700001,773,56.799999,11453,9.3999996,882,88.900002,58.900002,5.1999998,11600,2.5999999,57196.4039440568,47333036.9225418
2,2018-19,0601860,0161127,01611270000000,Alameda,Albany City Unified,Unified,KG,12,KG,12,General Assistance,13,09,15,"21 - Suburban, Large",2018-19 District Boundary Adjustment/Correction,3682,0,3682,111,3,4,0.1,1063,28.9,47,1.3,592,16.1,510,13.9,6,0.2,1163,31.6,186,5.0999999,583,15.8,2,0.1,12,0.30000001,0,0,312,8.5,777,21.1,1118,30.4,1773,79.199997,1795,72,302,62.599998,3763,6.4000001,301,94.699997,63.900002,1.7,3830,1.9,12870.7721555487,7161276.07563407
3,2018-19,0604740,0161143,01611430000000,Alameda,Berkeley Unified,Unified,KG,12,KG,12,Differentiated Assistance,13,09,15,"12 - City, Midsize ",2018-19 District Boundary Adjustment/Correction,10194,383,9811,1440,14.1,16,0.2,731,7.1999998,83,0.80000001,2438,23.9,1465,14.4,14,0.1,3999,39.200001,8,0.1,953,9.3000002,23,0.2,265,2.5999999,0,0,1148,11.3,3331,32.700001,3275,33.400002,4614,66.699997,4549,61.700001,790,63.299999,10404,9.6999998,856,87.400002,83.300003,10.7,10534,1.4,44426.2874050564,43763892.6214156
4,2018-19,0607800,0161150,01611500000000,Alameda,Castro Valley Unified,Unified,KG,12,KG,12,General Assistance,"13,15","07,09,10","18,20","21 - Suburban, Large",2018-19 District Boundary Adjustment/Correction,9269,0,9269,489,5.3000002,19,0.2,2539,27.4,420,4.5,2204,23.799999,909,9.8000002,47,0.5,2480,26.799999,162,1.7,1021,11,12,0.1,68,0.69999999,0,0,800,8.6000004,2284,24.6,2739,29.6,4844,68.099998,4850,63.200001,737,57.099998,9433,7.4000001,742,92.599998,55.900002,3,9532,2.2,142338.494091194,283320488.767983
5,2018-19,0612630,0161168,01611680000000,Alameda,Emery Unified,Unified,KG,12,KG,12,Differentiated Assistance,13,09,15,"21 - Suburban, Large",2018-19 District Boundary Adjustment/Correction,743,0,743,326,43.900002,1,0.1,83,11.2,11,1.5,185,24.9,62,8.3000002,8,1.1,67,9,0,0,160,21.5,1,0.1,7,0.89999998,0,0,55,7.4000001,600,80.800003,613,83.099998,376,37.099998,377,23.299999,40,22.5,760,20.5,40,100,40,0,780,3.5999999,13762.8692917948,5368211.51359322
6,2018-19,0614400,0161176,01611760000000,Alameda,Fremont Unified,Unified,KG,12,KG,12,Differentiated Assistance,"15,17",10,"20,25","21 - Suburban, Large",2018-19 District Boundary Adjustment/Correction,35544,368,35176,683,1.9,85,0.2,22749,64,1823,5.0999999,5149,14.5,998,2.8,208,0.60000002,3716,10.5,133,0.40000001,4666,13.1,23,0.1,190,0.5,69,0.2,3333,9.3999996,7332,20.6,9733,27.700001,18260,78.400002,18312,73.900002,2414,71.800003,36319,5.5,2484,92.900002,55.799999,5.5,36814,1.7,164514.790603387,320337965.401804
7,2018-19,0616740,0161192,01611920000000,Alameda,Hayward Unified,Unified,KG,12,KG,12,Differentiated Assistance,15,10,20,"12 - City, Midsize ",2018-19 District Boundary Adjustment/Correction,22376,2467,19909,1884,8.3999996,52,0.2,1809,8.1000004,1570,7,14444,64.599998,772,3.5,719,3.2,1074,4.8000002,52,0.2,6250,27.9,64,0.30000001,759,3.4000001,389,1.7,2395,10.7,16285,72.800003,15484,77.800003,10410,36.900002,10545,25.4,1286,35.400002,23138,14.9,1585,83.900002,52.599998,9.6999998,23555,4.5999999,87111.9697209311,143074522.614334
8,2018-19,0622110,0161200,01612000000000,Alameda,Livermore Valley Joint Unified,Unified,KG,12,KG,12,General Assistance,"11,15",07,"14,16,20","23 - Suburban, Small",2018-19 District Boundary Adjustment/Correction,13738,0,13738,202,1.5,37,0.30000001,1216,8.8999996,422,3.0999999,4252,31,1127,8.1999998,37,0.30000001,6429,46.799999,16,0.1,1458,10.6,12,0.1,67,0.5,192,1.4,1795,13.1,3529,25.700001,3794,27.6,6996,62.900002,7005,50.200001,1116,54.400002,13721,5.0999999,1126,94.099998,48.5,2.3,13870,3,206097.40749532,1104155549.54392
9,2018-19,0626130,0161218,01612180000000,Alameda,Mountain House Elementary,Elementary,KG,08,KG,08,General Assistance,15,07,16,"41 - Rural, Fringe",2018-19 District Boundary Adjustment/Correction,17,0,17,0,0,1,5.9000001,0,0,0,0,7,41.200001,1,5.9000001,4,23.5,4,23.5,0,0,6,35.299999,0,0,0,0,0,0,2,11.8,11,64.699997,11,64.699997,12,25,12,8.3000002,,,21,33.299999,,,,,21,0,55768.4593951384,124796523.281383
10,2018-19,0627060,0161234,01612340000000,Alameda,Newark Unified,Unified,KG,12,KG,12,Differentiated Assistance,17,10,25,"21 - Suburban, Large",2018-19 District Boundary Adjustment/Correction,5758,0,5758,201,3.5,14,0.2,841,14.6,501,8.6999998,3076,53.400002,262,4.5999999,109,1.9,718,12.5,36,0.60000002,1298,22.5,7,0.1,151,2.5999999,93,1.6,684,11.9,2918,50.700001,3190,55.799999,2916,47.5,2924,38.099998,466,35,5913,6.6999998,471,87,33.200001,7.4000001,5997,3.7,39914.3924038993,58021105.0149534
11,2018-19,0626910,0161242,01612420000000,Alameda,New Haven Unified,Unified,KG,12,KG,12,Differentiated Assistance,15,10,20,"21 - Suburban, Large",2018-19 District Boundary Adjustment/Correction,11281,0,11281,566,5,56,0.5,2739,24.299999,2247,19.9,4178,37,574,5.0999999,213,1.9,704,6.1999998,4,0,2361,20.9,15,0.1,148,1.3,142,1.3,1127,10,5295,46.900002,5934,52.700001,5614,50.900002,5659,41.900002,973,62.5,11513,48.400002,962,88.900002,46.200001,4,11670,2.5999999,86363.0099297048,117386466.207012
12,2018-19,0628050,0161259,01612590000000,Alameda,Oakland Unified,Unified,KG,12,KG,12,Differentiated Assistance,13,09,"15,18","11 - City, Large",2018-19 District Boundary Adjustment/Correction,50202,13678,36524,11813,23.5,141,0.30000001,6100,12.2,443,0.89999998,23076,46,2000,4,457,0.89999998,5175,10.3,997,2,15671,31.200001,189,0.40000001,902,1.8,22,0,6513,13,37245,74.199997,27799,76.199997,17428,33.299999,17605,27,2701,39.5,51849,28.700001,3523,76.5,57.299999,12.6,53118,4.4000001,143476.657364513,222541597.61121
13,2018-19,0630330,0161275,01612750000000,Alameda,Piedmont City Unified,Unified,KG,12,KG,12,General Assistance,13,09,15,"21 - Suburban, Large",2018-19 District Boundary Adjustment/Correction,2596,0,2596,36,1.4,1,0,327,12.6,19,0.69999999,223,8.6000004,466,18,0,0,1523,58.700001,1,0,25,1,1,0,1,0,0,0,328,12.6,47,1.8,67,2.5999999,1347,87.199997,1348,86.599998,227,82.400002,2613,4.5999999,226,99.599998,93.300003,0,2639,0.69999999,13277.3186869115,7069858.23328213
14,2018-19,0634680,0161291,01612910000000,Alameda,San Leandro Unified,Unified,KG,12,KG,12,Differentiated Assistance,"13,15","09,10","18,20","13 - City, Small",2018-19 District Boundary Adjustment/Correction,8926,0,8926,1145,12.8,25,0.30000001,1468,16.4,647,7.1999998,4295,48.099998,405,4.5,98,1.1,770,8.6000004,73,0.80000001,2652,29.700001,17,0.2,106,1.2,0,0,1141,12.8,5723,64.099998,6089,68.199997,4505,42.099998,4513,28.700001,750,43.599998,9181,15.3,746,89,39.299999,9.3999996,9336,5.1999998,65390.6566686614,56808088.4111542
15,2018-19,0634710,0161309,01613090000000,Alameda,San Lorenzo Unified,Unified,KG,12,KG,12,Differentiated Assistance,"13,15","09,10","18,20","21 - Suburban, Large",2018-19 District Boundary Adjustment/Correction,11256,1055,10201,1058,9.3999996,36,0.30000001,1700,15.1,770,6.8000002,6331,56.200001,314,2.8,179,1.6,813,7.1999998,55,0.5,3048,27.1,18,0.2,160,1.4,79,0.69999999,1172,10.4,7337,65.199997,7072,69.300003,5048,33.200001,5052,23.200001,929,36.400002,11588,12.9,1069,89.199997,54.900002,7,11770,4.5,48963.8071520437,45267114.6134512
16,2018-19,0600019,0175093,01750930000000,Alameda,Dublin Unified,Unified,KG,12,KG,12,General Assistance,15,"07,10","16,20","21 - Suburban, Large",2018-19 District Boundary Adjustment/Correction,12090,0,12090,387,3.2,48,0.40000001,6338,52.400002,620,5.0999999,1306,10.8,953,7.9000001,51,0.40000001,2384,19.700001,3,0,918,7.5999999,6,0,10,0.1,0,0,810,6.6999998,1094,9,1782,14.7,6354,78.400002,6356,73.400002,682,69.099998,12466,4.4000001,687,93.900002,62.599998,3.2,12595,1.5,51454.2483905412,69394232.5005433
17,2018-19,0600020,0175101,01751010000000,Alameda,Pleasanton Unified,Unified,KG,12,KG,12,General Assistance,15,"07,10","16,20","13 - City, Small",2018-19 District Boundary Adjustment/Correction,14978,0,14978,217,1.4,16,0.1,6557,43.799999,300,2,1452,9.6999998,774,5.1999998,32,0.2,5601,37.400002,29,0.2,1706,11.4,9,0.1,11,0.1,0,0,1199,8,1369,9.1000004,2690,18,7944,78.900002,7940,75,1217,76.199997,15331,3.4000001,1224,96.400002,72.800003,1.5,15481,2,71244.103393342,167056891.21291
